이름	설명	시작 키 배열	끝 키 배열
Terminal Profile 04-01	세금미포함금액, 봉사료입력, 부가세율 0%, 봉사료율 0%	특수, 7001, 2, 1, 3, 2, 0, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 1, 0, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, {D:부가세율}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 04-02	세금미포함금액, 봉사료입력, 부가세율 5%, 봉사료율 5%	특수, 7001, 2, 1, 3, 2, 5, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 1, 5, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, {D:부가세율}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 04-03	세금미포함금액, 봉사료입력, 부가세율 25%, 봉사료율 25%	특수, 7001, 2, 1, 3, 2, 25, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 1, 25, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, {D:부가세율}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 04-04	세금미포함금액, 봉사료입력, 부가세율 45%, 봉사료율 45%	특수, 7001, 2, 1, 3, 2, 45, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 1, 45, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, {D:부가세율}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 04-05	세금미포함금액, 봉사료입력, 부가세율 55%, 봉사료율 55%	특수, 7001, 2, 1, 3, 2, 55, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 1, 55, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, {D:부가세율}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 04	세금미포함금액, 봉사료입력	특수, 7001, 2, 1, 3, 2, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 1, 10, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 05-01	할부개월 사용, 서명패드기능 사용	특수, 7001, 2, 3, 2, 1, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 3, {D:할부설정}, {D:5만미만할부사용}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 05	서명패드기능 사용	특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 06	세금미포함금액, 서명패드기능 사용	특수, 7001, 2, 1, 3, 2, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 07	봉사료포함, 서명패드기능 사용	특수, 7001, 2, 2, 3, 1, 10, 입력, 1, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 08	세금미포함, 봉사료포함, 서명패드기능 사용	특수, 7001, 2, 1, 3, 2, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 1, 10, 입력, 1, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 09-01	주유소 999, 서명패드기능 사용	특수, 7001, 4, 1, 2, 2, 999, 입력, 2, 999, 입력, 2, 999, 입력, 2, 999, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 4, 1, {D:유종설정}, {D:주유소무연휘발유사용}, {D:주유소무연휘발유}, 입력, {D:주유소경유사용}, {D:주유소경유}, 입력, {D:주유소보일러등유사용}, {D:주유소보일러등유}, 입력, {D:주유소실내등유사용}, {D:주유소실내등유}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 09-02	주유소 2000, 서명패드기능 사용	특수, 7001, 4, 1, 2, 2, 2000, 입력, 2, 2000, 입력, 2, 2000, 입력, 2, 2000, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 4, 1, {D:유종설정}, {D:주유소무연휘발유사용}, {D:주유소무연휘발유}, 입력, {D:주유소경유사용}, {D:주유소경유}, 입력, {D:주유소보일러등유사용}, {D:주유소보일러등유}, 입력, {D:주유소실내등유사용}, {D:주유소실내등유}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 09-03	주유소 501	특수, 7001, 4, 1, 2, 2, 501, 입력, 2, 501, 입력, 2, 501, 입력, 2, 501, 입력, 종료, 종료, 종료, 종료	특수, 7001, 4, 1, {D:유종설정}, {D:주유소무연휘발유사용}, {D:주유소무연휘발유}, 입력, {D:주유소경유사용}, {D:주유소경유}, 입력, {D:주유소보일러등유사용}, {D:주유소보일러등유}, 입력, {D:주유소실내등유사용}, {D:주유소실내등유}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 09-04	주유소 999	특수, 7001, 4, 1, 2, 2, 999, 입력, 2, 999, 입력, 2, 999, 입력, 2, 999, 입력, 종료, 종료, 종료, 종료	특수, 7001, 4, 1, {D:유종설정}, {D:주유소무연휘발유사용}, {D:주유소무연휘발유}, 입력, {D:주유소경유사용}, {D:주유소경유}, 입력, {D:주유소보일러등유사용}, {D:주유소보일러등유}, 입력, {D:주유소실내등유사용}, {D:주유소실내등유}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 09-05	주유소 2000	특수, 7001, 4, 1, 2, 2, 2000, 입력, 2, 2000, 입력, 2, 2000, 입력, 2, 2000, 입력, 종료, 종료, 종료, 종료	특수, 7001, 4, 1, {D:유종설정}, {D:주유소무연휘발유사용}, {D:주유소무연휘발유}, 입력, {D:주유소경유사용}, {D:주유소경유}, 입력, {D:주유소보일러등유사용}, {D:주유소보일러등유}, 입력, {D:주유소실내등유사용}, {D:주유소실내등유}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 09-06	주유소 501, 서명패드기능 사용, SKT멤버쉽카드, KTF멤버쉽	특수, 7001, 3, 1, 1, 4, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 4, 1, 2, 2, 501, 입력, 2, 501, 입력, 2, 501, 입력, 2, 501, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 1, 1, 4, {D:KTF멤버쉽}, {D:KTF멤버쉽상품코드사용}, {D:KTF멤버쉽조회후인쇄}, 종료, 종료, 종료, 종료, 특수, 7001, 4, 1, {D:유종설정}, {D:주유소무연휘발유사용}, {D:주유소무연휘발유}, 입력, {D:주유소경유사용}, {D:주유소경유}, 입력, {D:주유소보일러등유사용}, {D:주유소보일러등유}, 입력, {D:주유소실내등유사용}, {D:주유소실내등유}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 09-07	주유소 999, 서명패드기능 사용, SKT멤버쉽카드, KTF멤버쉽	특수, 7001, 3, 1, 1, 4, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 4, 1, 2, 2, 999, 입력, 2, 999, 입력, 2, 999, 입력, 2, 999, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 1, 1, 4, {D:KTF멤버쉽}, {D:KTF멤버쉽상품코드사용}, {D:KTF멤버쉽조회후인쇄}, 종료, 종료, 종료, 종료, 특수, 7001, 4, 1, {D:유종설정}, {D:주유소무연휘발유사용}, {D:주유소무연휘발유}, 입력, {D:주유소경유사용}, {D:주유소경유}, 입력, {D:주유소보일러등유사용}, {D:주유소보일러등유}, 입력, {D:주유소실내등유사용}, {D:주유소실내등유}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 09-08	주유소 2000, 서명패드기능 사용, SKT멤버쉽카드, KTF멤버쉽	특수, 7001, 3, 1, 1, 4, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 4, 1, 2, 2, 2000, 입력, 2, 2000, 입력, 2, 2000, 입력, 2, 2000, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 1, 1, 4, {D:KTF멤버쉽}, {D:KTF멤버쉽상품코드사용}, {D:KTF멤버쉽조회후인쇄}, 종료, 종료, 종료, 종료, 특수, 7001, 4, 1, {D:유종설정}, {D:주유소무연휘발유사용}, {D:주유소무연휘발유}, 입력, {D:주유소경유사용}, {D:주유소경유}, 입력, {D:주유소보일러등유사용}, {D:주유소보일러등유}, 입력, {D:주유소실내등유사용}, {D:주유소실내등유}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 09	주유소 501, 서명패드기능 사용	특수, 7001, 4, 1, 2, 2, 501, 입력, 2, 501, 입력, 2, 501, 입력, 2, 501, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 4, 1, {D:유종설정}, {D:주유소무연휘발유사용}, {D:주유소무연휘발유}, 입력, {D:주유소경유사용}, {D:주유소경유}, 입력, {D:주유소보일러등유사용}, {D:주유소보일러등유}, 입력, {D:주유소실내등유사용}, {D:주유소실내등유}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 10-01	할부개월 사용, 5만원미만 할부 사용	특수, 7001, 2, 3, 2, 2, 종료, 종료, 종료, 종료	특수, 7001, 2, 3, {D:할부설정}, {D:5만미만할부사용}, 종료, 종료, 종료, 종료
Terminal Profile 10	할부개월 사용	특수, 7001, 2, 3, 2, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 3, {D:할부설정}, {D:5만미만할부사용}, 종료, 종료, 종료, 종료
Terminal Profile 11	신용비밀번호사용	특수, 7001, 2, 6, 4, 2, 종료, 종료, 종료, 종료	특수, 7001, 2, 6, 4, {D:신용비밀번호}, 종료, 종료, 종료, 종료
Terminal Profile 12-01	세금미포함금액, 봉사료 사용, 봉사료 미포함, 부가세율 15%	특수, 7001, 2, 1, 3, 2, 15, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 2, 10, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, {D:부가세율}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 12-02	세금미포함금액, 봉사료 사용, 봉사료 미포함, 부가세율 35%	특수, 7001, 2, 1, 3, 2, 35, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 2, 10, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, {D:부가세율}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 12-03	세금미포함금액, 봉사료 사용, 봉사료 미포함, 부가세율 65%	특수, 7001, 2, 1, 3, 2, 65, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 2, 10, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, {D:부가세율}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 12-04	세금미포함금액, 봉사료 사용, 봉사료 미포함, 부가세율 75%	특수, 7001, 2, 1, 3, 2, 75, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 2, 10, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, {D:부가세율}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 12	세금미포함금액, 봉사료 사용, 봉사료 미포함, 부가세율 5%	특수, 7001, 2, 1, 3, 2, 5, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 2, 10, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, {D:부가세율}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 13-01	세금포함금액, 봉사료 사용, 봉사료 포함, 봉사료율 5%	특수, 7001, 2, 2, 3, 1, 5, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 13-02	세금포함금액, 봉사료 사용, 봉사료 포함, 봉사료율 25%	특수, 7001, 2, 2, 3, 1, 25, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 13-03	세금포함금액, 봉사료 사용, 봉사료 포함, 봉사료율 45%	특수, 7001, 2, 2, 3, 1, 45, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 13-04	세금포함금액, 봉사료 사용, 봉사료 포함, 봉사료율 55%	특수, 7001, 2, 2, 3, 1, 55, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 13	세금포함금액, 봉사료 사용, 봉사료 포함, 봉사료율 0%	특수, 7001, 2, 2, 3, 1, 0, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 14-01	세금포함금액, 봉사료 사용, 봉사료 미포함, 부가세율 5%, 봉사료율  5%	특수, 7001, 2, 1, 3, 1, 5, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 2, 5, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, {D:부가세율}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 14-02	세금포함금액, 봉사료 사용, 봉사료 미포함, 부가세율 25%, 봉사료율  25%	특수, 7001, 2, 1, 3, 1, 25, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 2, 25, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, {D:부가세율}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 14-03	세금포함금액, 봉사료 사용, 봉사료 미포함, 부가세율 45%, 봉사료율  45%	특수, 7001, 2, 1, 3, 1, 45, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 2, 45, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, {D:부가세율}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 14-04	세금포함금액, 봉사료 사용, 봉사료 미포함, 부가세율 55%, 봉사료율  55%	특수, 7001, 2, 1, 3, 1, 55, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 2, 55, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, {D:부가세율}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 14	세금포함금액, 봉사료 사용, 봉사료 미포함, 부가세율 0%, 봉사료율  0%	특수, 7001, 2, 1, 3, 1, 0, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 2, 0, 입력, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, {D:부가세율}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료
Terminal Profile 15	단말기 사용유형 ADSL	특수, 7001, 6, 1, 2, 종료, 종료, 종료, 종료	특수, 7001, 6, 1, {D:VAN접속설정}, 종료, 종료, 종료, 종료
Terminal Profile 16	단말기 사용유형 ETHERNET	특수, 7001, 6, 1, 3, 종료, 종료, 종료, 종료	특수, 7001, 6, 1, {D:VAN접속설정}, 종료, 종료, 종료, 종료
Terminal Profile 17	PINPAD 사용	특수, 7001, 7, 2, 3, 1, 종료, 종료, 종료, 종료	특수, 7001, 7, 2, {D:핀패드}, {D:핀패드포트}, 종료, 종료, 종료, 종료
Terminal Profile 18	PINPAD 사용, PINPAD 2	특수, 7001, 7, 2, 3, 2, 종료, 종료, 종료, 종료	특수, 7001, 7, 2, {D:핀패드}, {D:핀패드포트}, 종료, 종료, 종료, 종료
Terminal Profile 19-01	키인승인 사용, 부가세 미포함	특수, 7001, 2, 1, 3, 2, 종료, 종료, 종료, 종료, 특수, 2670, 1, 1, 2, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, 종료, 종료, 종료, 종료, 특수, 2670, 1, 1, {D:키인설정}, 종료, 종료, 종료, 종료
Terminal Profile 19-02	키인승인 사용, 할부개월 사용	특수, 7001, 2, 3, 2, 1, 종료, 종료, 종료, 종료, 특수, 2670, 1, 1, 2, 종료, 종료, 종료, 종료	특수, 7001, 2, 3, {D:할부설정}, {D:5만미만할부사용}, 종료, 종료, 종료, 종료, 특수, 2670, 1, 1, {D:키인설정}, 종료, 종료, 종료, 종료
Terminal Profile 19-03	키인승인 사용, 봉사료 사용	특수, 7001, 2, 2, 3, 1, 10, 입력, 1, 종료, 종료, 종료, 종료, 특수, 2670, 1, 1, 2, 종료, 종료, 종료, 종료	특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료, 특수, 2670, 1, 1, {D:키인설정}, 종료, 종료, 종료, 종료
Terminal Profile 19-04	키인승인 사용, 부가세미포함, 봉사료사용	특수, 7001, 2, 1, 3, 2, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 1, 10, 입력, 1, 종료, 종료, 종료, 종료, 특수, 2670, 1, 1, 2, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료, 특수, 2670, 1, 1, {D:키인설정}, 종료, 종료, 종료, 종료
Terminal Profile 19-05	키인승인 사용, 서명패드 사용	특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료, 특수, 2670, 1, 1, 2, 종료, 종료, 종료, 종료	특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료, 특수, 2670, 1, 1, {D:키인설정}, 종료, 종료, 종료, 종료
Terminal Profile 19-06	키인승인 사용, 비과세 사용	특수, 7001, 3, 5, 1, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 2670, 1, 1, 2, 종료, 종료, 종료, 종료	특수, 7001, 3, 5, 1, {D:비과세}, {D:약국의약품사용}, {D:금액입력화면반전}, 종료, 종료, 종료, 종료, 특수, 2670, 1, 1, {D:키인설정}, 종료, 종료, 종료, 종료
